sentence,place
I'm entering the Vineyard,Vineyard
I'm entering the Cemetery,Cemetery
I'm entering the Castle,Castle
I'm entering the Historical site,Historical site
I'm entering the Cave,Cave
I'm entering the Lighthouse,Lighthouse
I'm entering the Waterfall,Waterfall
I'm entering the Cruise ship,Cruise ship
I'm entering the Train station,Train station
I'm entering the Airport,Airport
I'm entering the Space station,Space station
I'm entering the Underground,Underground
I'm entering the Planetarium,Planetarium
I'm entering the Carnival,Carnival
I'm entering the Circus,Circus
I'm entering the Wildlife sanctuary,Wildlife sanctuary
I'm entering the Aquarium,Aquarium
I'm entering the Botanical garden,Botanical garden
I'm entering the Coffee shop,Coffee shop
I'm entering the Tea house,Tea house
I'm entering the Ice cream parlor,Ice cream parlor
I'm entering the Bakery,Bakery
I'm entering the Farmers' market,Farmers' market
I'm entering the Campground,Campground
I'm entering the Campsite,Campsite
I'm entering the Ski resort,Ski resort
I'm entering the Beach resort,Beach resort
I'm entering the Safari park,Safari park
I'm entering the Sculpture park,Sculpture park
I'm entering the University,University
I'm entering the College,College
I'm entering the Kindergarten,Kindergarten
I'm entering the Daycare,Daycare
I'm entering the Factory,Factory
I'm entering the Lab,Lab
I'm entering the Radio station,Radio station
I'm entering the Television studio,Television studio
I'm entering the Office building,Office building
I'm entering the Observatory,Observatory
I'm entering the Underwater cave,Underwater cave
I'm entering the Haunted house,Haunted house
I'm entering the Winery,Winery
I'm entering the Microbrewery,Microbrewery
I'm entering the Planet,Planet
I'm entering the Moon,Moon
I'm entering the Sun,Sun
I'm entering the Jupiter,Jupiter
I'm entering the Forest,Forest
I'm entering the Cabin,Cabin
I'm entering the Rainforest,Rainforest
I'm entering the Jungle,Jungle
I'm entering the Wetland,Wetland
I'm entering the Volcano,Volcano
I'm on my way to the Park,Park
I'm on my way to the Beach,Beach
I'm on my way to the Library,Library
I'm on my way to the Museum,Museum
I'm on my way to the Restaurant,Restaurant
I'm on my way to the Cafe,Cafe
I'm on my way to the Movie theater,Movie theater
I'm on my way to the Shopping mall,Shopping mall
I'm on my way to the Gym,Gym
I'm on my way to the School,School
I'm on my way to the Office,Office
I'm on my way to the Zoo,Zoo
I'm on my way to the Concert hall,Concert hall
I'm on my way to the Art gallery,Art gallery
I'm on my way to the Stadium,Stadium
I'm on my way to the Hospital,Hospital
I'm on my way to the Farm,Farm
I'm on my way to the Farm market,Farm market
I'm on my way to the Amusement park,Amusement park
I'm on my way to the Spa,Spa
I'm on my way to the Mountain,Mountain
I'm on my way to the Lake,Lake
I'm on my way to the River,River
I'm on my way to the Forest,Forest
I'm on my way to the Jungle,Jungle
I'm on my way to the Desert,Desert
I'm on my way to the Countryside,Countryside
I'm on my way to the City,City
I'm on my way to the Suburb,Suburb
I'm on my way to the Village,Village
I'm on my way to the Town,Town
I'm on my way to the Island,Island
I'm on my way to the Skyscraper,Skyscraper
I'm on my way to the Cinema,Cinema
I'm on my way to the Bookstore,Bookstore
I'm on my way to the Factory,Factory
I'm on my way to the Workshop,Workshop
I'm on my way to the Studio,Studio
I'm on my way to the Garden,Garden
I'm on my way to the Orchard,Orchard
I'm on my way to the Vineyard,Vineyard
I'm on my way to the Cemetery,Cemetery
I'm on my way to the Castle,Castle
I'm on my way to the Historical site,Historical site
I'm on my way to the Cave,Cave
I'm on my way to the Lighthouse,Lighthouse
I'm on my way to the Waterfall,Waterfall
I'm on my way to the Cruise ship,Cruise ship
I'm on my way to the Train station,Train station
I'm on my way to the Airport,Airport
I'm on my way to the Space station,Space station
I'm on my way to the Underground,Underground
I'm on my way to the Planetarium,Planetarium
I'm on my way to the Carnival,Carnival
I'm on my way to the Circus,Circus
I'm on my way to the Wildlife sanctuary,Wildlife sanctuary
I'm on my way to the Aquarium,Aquarium
I'm on my way to the Botanical garden,Botanical garden
I'm on my way to the Coffee shop,Coffee shop
I'm on my way to the Tea house,Tea house
I'm on my way to the Ice cream parlor,Ice cream parlor
I'm on my way to the Bakery,Bakery
I'm on my way to the Farmers' market,Farmers' market
I'm on my way to the Campground,Campground
I'm on my way to the Campsite,Campsite
I'm on my way to the Ski resort,Ski resort
I'm on my way to the Beach resort,Beach resort
I'm on my way to the Safari park,Safari park
I'm on my way to the Sculpture park,Sculpture park
I'm on my way to the University,University
I'm on my way to the College,College
I'm on my way to the Kindergarten,Kindergarten
I'm on my way to the Daycare,Daycare
I'm on my way to the Factory,Factory
I'm on my way to the Lab,Lab
I'm on my way to the Radio station,Radio station
I'm on my way to the Television studio,Television studio
I'm on my way to the Office building,Office building
I'm on my way to the Observatory,Observatory
I'm on my way to the Underwater cave,Underwater cave
I'm on my way to the Haunted house,Haunted house
I'm on my way to the Winery,Winery
I'm on my way to the Microbrewery,Microbrewery
I'm on my way to the Planet,Planet
I'm on my way to the Moon,Moon
I'm on my way to the Sun,Sun
I'm on my way to the Jupiter,Jupiter
I'm on my way to the Forest,Forest
I'm on my way to the Cabin,Cabin
I'm on my way to the Rainforest,Rainforest
I'm on my way to the Jungle,Jungle
I'm on my way to the Wetland,Wetland
I'm on my way to the Volcano,Volcano
I'm heading to the Park,Park
I'm heading to the Beach,Beach
I'm heading to the Library,Library
I'm heading to the Museum,Museum
I'm heading to the Restaurant,Restaurant
I'm heading to the Cafe,Cafe
I'm heading to the Movie theater,Movie theater
I'm heading to the Shopping mall,Shopping mall
I'm heading to the Gym,Gym
I'm heading to the School,School
I'm heading to the Office,Office
I'm heading to the Zoo,Zoo
I'm heading to the Concert hall,Concert hall
I'm heading to the Art gallery,Art gallery
I'm heading to the Stadium,Stadium
I'm heading to the Hospital,Hospital
I'm heading to the Farm,Farm
I'm heading to the Farm market,Farm market
I'm heading to the Amusement park,Amusement park
I'm heading to the Spa,Spa
I'm heading to the Mountain,Mountain
I'm heading to the Lake,Lake
I'm heading to the River,River
I'm heading to the Forest,Forest
I'm heading to the Jungle,Jungle
I'm heading to the Desert,Desert
I'm heading to the Countryside,Countryside
I'm heading to the City,City
I'm heading to the Suburb,Suburb
I'm heading to the Village,Village
I'm heading to the Town,Town
I'm heading to the Island,Island
I'm heading to the Skyscraper,Skyscraper
I'm heading to the Cinema,Cinema
I'm heading to the Bookstore,Bookstore
I'm heading to the Factory,Factory
I'm heading to the Workshop,Workshop
I'm heading to the Studio,Studio
I'm heading to the Garden,Garden
I'm heading to the Orchard,Orchard
I'm heading to the Vineyard,Vineyard
I'm heading to the Cemetery,Cemetery
I'm heading to the Castle,Castle
I'm heading to the Historical site,Historical site
I'm heading to the Cave,Cave
I'm heading to the Lighthouse,Lighthouse
I'm heading to the Waterfall,Waterfall
I'm heading to the Cruise ship,Cruise ship
I'm heading to the Train station,Train station
I'm heading to the Airport,Airport
I'm heading to the Space station,Space station
I'm heading to the Underground,Underground
I'm heading to the Planetarium,Planetarium
I'm heading to the Carnival,Carnival
I'm heading to the Circus,Circus
I'm heading to the Wildlife sanctuary,Wildlife sanctuary
I'm heading to the Aquarium,Aquarium
I'm heading to the Botanical garden,Botanical garden
I'm heading to the Coffee shop,Coffee shop
I'm heading to the Tea house,Tea house
I'm heading to the Ice cream parlor,Ice cream parlor
I'm heading to the Bakery,Bakery
I'm heading to the Farmers' market,Farmers' market
I'm heading to the Campground,Campground
I'm heading to the Campsite,Campsite
I'm heading to the Ski resort,Ski resort
I'm heading to the Beach resort,Beach resort
I'm heading to the Safari park,Safari park
I'm heading to the Sculpture park,Sculpture park
I'm heading to the University,University
I'm heading to the College,College
I'm heading to the Kindergarten,Kindergarten
I'm heading to the Daycare,Daycare
I'm heading to the Factory,Factory
I'm heading to the Lab,Lab
I'm heading to the Radio station,Radio station
I'm heading to the Television studio,Television studio
I'm heading to the Office building,Office building
I'm heading to the Observatory,Observatory
I'm heading to the Underwater cave,Underwater cave
I'm heading to the Haunted house,Haunted house
I'm heading to the Winery,Winery
I'm heading to the Microbrewery,Microbrewery
I'm heading to the Planet,Planet
I'm heading to the Moon,Moon
I'm heading to the Sun,Sun
I'm heading to the Jupiter,Jupiter
I'm heading to the Forest,Forest
I'm heading to the Cabin,Cabin
I'm heading to the Rainforest,Rainforest
I'm heading to the Jungle,Jungle
I'm heading to the Wetland,Wetland
I'm heading to the Volcano,Volcano
I'm making a trip to the Park,Park
I'm making a trip to the Beach,Beach
I'm making a trip to the Library,Library
I'm making a trip to the Museum,Museum
I'm making a trip to the Restaurant,Restaurant
I'm making a trip to the Cafe,Cafe
I'm making a trip to the Movie theater,Movie theater
I'm making a trip to the Shopping mall,Shopping mall
I'm making a trip to the Gym,Gym
I'm making a trip to the School,School
I'm making a trip to the Office,Office
I'm making a trip to the Zoo,Zoo
I'm making a trip to the Concert hall,Concert hall
I'm making a trip to the Art gallery,Art gallery
I'm making a trip to the Stadium,Stadium
I'm making a trip to the Hospital,Hospital
I'm making a trip to the Farm,Farm
I'm making a trip to the Farm market,Farm market
I'm making a trip to the Amusement park,Amusement park
I'm making a trip to the Spa,Spa
I'm making a trip to the Mountain,Mountain
I'm making a trip to the Lake,Lake
I'm making a trip to the River,River
I'm making a trip to the Forest,Forest
I'm making a trip to the Jungle,Jungle
I'm making a trip to the Desert,Desert
I'm making a trip to the Countryside,Countryside
I'm making a trip to the City,City
I'm making a trip to the Suburb,Suburb
I'm making a trip to the Village,Village
I'm making a trip to the Town,Town
I'm making a trip to the Island,Island
I'm making a trip to the Skyscraper,Skyscraper
I'm making a trip to the Cinema,Cinema
I'm making a trip to the Bookstore,Bookstore
I'm making a trip to the Factory,Factory
I'm making a trip to the Workshop,Workshop
I'm making a trip to the Studio,Studio
I'm making a trip to the Garden,Garden
I'm making a trip to the Orchard,Orchard
I'm making a trip to the Vineyard,Vineyard
I'm making a trip to the Cemetery,Cemetery
I'm making a trip to the Castle,Castle
I'm making a trip to the Historical site,Historical site
I'm making a trip to the Cave,Cave
I'm making a trip to the Lighthouse,Lighthouse
I'm making a trip to the Waterfall,Waterfall
I'm making a trip to the Cruise ship,Cruise ship
I'm making a trip to the Train station,Train station
I'm making a trip to the Airport,Airport
I'm making a trip to the Space station,Space station
I'm making a trip to the Underground,Underground
I'm making a trip to the Planetarium,Planetarium
I'm making a trip to the Carnival,Carnival
I'm making a trip to the Circus,Circus
I'm making a trip to the Wildlife sanctuary,Wildlife sanctuary
I'm making a trip to the Aquarium,Aquarium
I'm making a trip to the Botanical garden,Botanical garden
I'm making a trip to the Coffee shop,Coffee shop
I'm making a trip to the Tea house,Tea house
I'm making a trip to the Ice cream parlor,Ice cream parlor
I'm making a trip to the Bakery,Bakery
I'm making a trip to the Farmers' market,Farmers' market
I'm making a trip to the Campground,Campground
I'm making a trip to the Campsite,Campsite
I'm making a trip to the Ski resort,Ski resort
I'm making a trip to the Beach resort,Beach resort
I'm making a trip to the Safari park,Safari park
I'm making a trip to the Sculpture park,Sculpture park
I'm making a trip to the University,University
I'm making a trip to the College,College
I'm making a trip to the Kindergarten,Kindergarten
I'm making a trip to the Daycare,Daycare
I'm making a trip to the Factory,Factory
I'm making a trip to the Lab,Lab
I'm making a trip to the Radio station,Radio station
I'm making a trip to the Television studio,Television studio
I'm making a trip to the Office building,Office building
I'm making a trip to the Observatory,Observatory
I'm making a trip to the Underwater cave,Underwater cave
I'm making a trip to the Haunted house,Haunted house
I'm making a trip to the Winery,Winery
I'm making a trip to the Microbrewery,Microbrewery
I'm making a trip to the Planet,Planet
I'm making a trip to the Moon,Moon
I'm making a trip to the Sun,Sun
I'm making a trip to the Jupiter,Jupiter
I'm making a trip to the Forest,Forest
I'm making a trip to the Cabin,Cabin
I'm making a trip to the Rainforest,Rainforest
I'm making a trip to the Jungle,Jungle
I'm making a trip to the Wetland,Wetland
I'm making a trip to the Volcano,Volcano
I'm journeying to the Park,Park
I'm journeying to the Beach,Beach
I'm journeying to the Library,Library
I'm journeying to the Museum,Museum
I'm journeying to the Restaurant,Restaurant
I'm journeying to the Cafe,Cafe
I'm journeying to the Movie theater,Movie theater
I'm journeying to the Shopping mall,Shopping mall
I'm journeying to the Gym,Gym
I'm journeying to the School,School
I'm journeying to the Office,Office
I'm journeying to the Zoo,Zoo
I'm journeying to the Concert hall,Concert hall
I'm journeying to the Art gallery,Art gallery
I'm journeying to the Stadium,Stadium
I'm journeying to the Hospital,Hospital
I'm journeying to the Farm,Farm
I'm journeying to the Farm market,Farm market
I'm journeying to the Amusement park,Amusement park
I'm journeying to the Spa,Spa
I'm journeying to the Mountain,Mountain
I'm journeying to the Lake,Lake
I'm journeying to the River,River
I'm journeying to the Forest,Forest
I'm journeying to the Jungle,Jungle
I'm journeying to the Desert,Desert
I'm journeying to the Countryside,Countryside
I'm journeying to the City,City
I'm journeying to the Suburb,Suburb
I'm journeying to the Village,Village
I'm journeying to the Town,Town
I'm journeying to the Island,Island
I'm journeying to the Skyscraper,Skyscraper
I'm journeying to the Cinema,Cinema
I'm journeying to the Bookstore,Bookstore
I'm journeying to the Factory,Factory
I'm journeying to the Workshop,Workshop
I'm journeying to the Studio,Studio
I'm journeying to the Garden,Garden
I'm journeying to the Orchard,Orchard
I'm journeying to the Vineyard,Vineyard
I'm journeying to the Cemetery,Cemetery
I'm journeying to the Castle,Castle
I'm journeying to the Historical site,Historical site
I'm journeying to the Cave,Cave
I'm journeying to the Lighthouse,Lighthouse
I'm journeying to the Waterfall,Waterfall
I'm journeying to the Cruise ship,Cruise ship
I'm journeying to the Train station,Train station
I'm journeying to the Airport,Airport
I'm journeying to the Space station,Space station
I'm journeying to the Underground,Underground
I'm journeying to the Planetarium,Planetarium
I'm journeying to the Carnival,Carnival
I'm journeying to the Circus,Circus
I'm journeying to the Wildlife sanctuary,Wildlife sanctuary
I'm journeying to the Aquarium,Aquarium
I'm journeying to the Botanical garden,Botanical garden
I'm journeying to the Coffee shop,Coffee shop
I'm journeying to the Tea house,Tea house
I'm journeying to the Ice cream parlor,Ice cream parlor
I'm journeying to the Bakery,Bakery
I'm journeying to the Farmers' market,Farmers' market
I'm journeying to the Campground,Campground
I'm journeying to the Campsite,Campsite
I'm journeying to the Ski resort,Ski resort
I'm journeying to the Beach resort,Beach resort
I'm journeying to the Safari park,Safari park
I'm journeying to the Sculpture park,Sculpture park
I'm journeying to the University,University
I'm journeying to the College,College
I'm journeying to the Kindergarten,Kindergarten
I'm journeying to the Daycare,Daycare
I'm journeying to the Factory,Factory
I'm journeying to the Lab,Lab
I'm journeying to the Radio station,Radio station
I'm journeying to the Television studio,Television studio
I'm journeying to the Office building,Office building
I'm journeying to the Observatory,Observatory
I'm journeying to the Underwater cave,Underwater cave
I'm journeying to the Haunted house,Haunted house
I'm journeying to the Winery,Winery
I'm journeying to the Microbrewery,Microbrewery
I'm journeying to the Planet,Planet
I'm journeying to the Moon,Moon
I'm journeying to the Sun,Sun
I'm journeying to the Jupiter,Jupiter
I'm journeying to the Forest,Forest
I'm journeying to the Cabin,Cabin
I'm journeying to the Rainforest,Rainforest
I'm journeying to the Jungle,Jungle
I'm journeying to the Wetland,Wetland
I'm journeying to the Volcano,Volcano
I'm traveling to the Park,Park
I'm traveling to the Beach,Beach
I'm traveling to the Library,Library
I'm traveling to the Museum,Museum
I'm traveling to the Restaurant,Restaurant
I'm traveling to the Cafe,Cafe
I'm traveling to the Movie theater,Movie theater
I'm traveling to the Shopping mall,Shopping mall
I'm traveling to the Gym,Gym
I'm traveling to the School,School
I'm traveling to the Office,Office
I'm traveling to the Zoo,Zoo
I'm traveling to the Concert hall,Concert hall
I'm traveling to the Art gallery,Art gallery
I'm traveling to the Stadium,Stadium
I'm traveling to the Hospital,Hospital
I'm traveling to the Farm,Farm
I'm traveling to the Farm market,Farm market
I'm traveling to the Amusement park,Amusement park
I'm traveling to the Spa,Spa
I'm traveling to the Mountain,Mountain
I'm traveling to the Lake,Lake
I'm traveling to the River,River
I'm traveling to the Forest,Forest
I'm traveling to the Jungle,Jungle
I'm traveling to the Desert,Desert
I'm traveling to the Countryside,Countryside
I'm traveling to the City,City
I'm traveling to the Suburb,Suburb
I'm traveling to the Village,Village
I'm traveling to the Town,Town
I'm traveling to the Island,Island
I'm traveling to the Skyscraper,Skyscraper
I'm traveling to the Cinema,Cinema
I'm traveling to the Bookstore,Bookstore
I'm traveling to the Factory,Factory
I'm traveling to the Workshop,Workshop
I'm traveling to the Studio,Studio
I'm traveling to the Garden,Garden
I'm traveling to the Orchard,Orchard
I'm traveling to the Vineyard,Vineyard
I'm traveling to the Cemetery,Cemetery
I'm traveling to the Castle,Castle
I'm traveling to the Historical site,Historical site
I'm traveling to the Cave,Cave
I'm traveling to the Lighthouse,Lighthouse
I'm traveling to the Waterfall,Waterfall
I'm traveling to the Cruise ship,Cruise ship
I'm traveling to the Train station,Train station
I'm traveling to the Airport,Airport
I'm traveling to the Space station,Space station
I'm traveling to the Underground,Underground
I'm traveling to the Planetarium,Planetarium
I'm traveling to the Carnival,Carnival
I'm traveling to the Circus,Circus
I'm traveling to the Wildlife sanctuary,Wildlife sanctuary
I'm traveling to the Aquarium,Aquarium
I'm traveling to the Botanical garden,Botanical garden
I'm traveling to the Coffee shop,Coffee shop
I'm traveling to the Tea house,Tea house
I'm traveling to the Ice cream parlor,Ice cream parlor
I'm traveling to the Bakery,Bakery
I'm traveling to the Farmers' market,Farmers' market
I'm traveling to the Campground,Campground
I'm traveling to the Campsite,Campsite
I'm traveling to the Ski resort,Ski resort
I'm traveling to the Beach resort,Beach resort
I'm traveling to the Safari park,Safari park
I'm traveling to the Sculpture park,Sculpture park
I'm traveling to the University,University
I'm traveling to the College,College
I'm traveling to the Kindergarten,Kindergarten
I'm traveling to the Daycare,Daycare
I'm traveling to the Factory,Factory
I'm traveling to the Lab,Lab
I'm traveling to the Radio station,Radio station
I'm traveling to the Television studio,Television studio
I'm traveling to the Office building,Office building
I'm traveling to the Observatory,Observatory
I'm traveling to the Underwater cave,Underwater cave
I'm traveling to the Haunted house,Haunted house
I'm traveling to the Winery,Winery
I'm traveling to the Microbrewery,Microbrewery
I'm traveling to the Planet,Planet
I'm traveling to the Moon,Moon
I'm traveling to the Sun,Sun
I'm traveling to the Jupiter,Jupiter
I'm traveling to the Forest,Forest
I'm traveling to the Cabin,Cabin
I'm traveling to the Rainforest,Rainforest
I'm traveling to the Jungle,Jungle
I'm traveling to the Wetland,Wetland
I'm traveling to the Volcano,Volcano
I'm venturing to the Park,Park
I'm venturing to the Beach,Beach
I'm venturing to the Library,Library
I'm venturing to the Museum,Museum
I'm venturing to the Restaurant,Restaurant
I'm venturing to the Cafe,Cafe
I'm venturing to the Movie theater,Movie theater
I'm venturing to the Shopping mall,Shopping mall
I'm venturing to the Gym,Gym
I'm venturing to the School,School
I'm venturing to the Office,Office
I'm venturing to the Zoo,Zoo
I'm venturing to the Concert hall,Concert hall
I'm venturing to the Art gallery,Art gallery
I'm venturing to the Stadium,Stadium
I'm venturing to the Hospital,Hospital
I'm venturing to the Farm,Farm
I'm venturing to the Farm market,Farm market
I'm venturing to the Amusement park,Amusement park
I'm venturing to the Spa,Spa
I'm venturing to the Mountain,Mountain
I'm venturing to the Lake,Lake
I'm venturing to the River,River
I'm venturing to the Forest,Forest
I'm venturing to the Jungle,Jungle
I'm venturing to the Desert,Desert
I'm venturing to the Countryside,Countryside
I'm venturing to the City,City
I'm venturing to the Suburb,Suburb
I'm venturing to the Village,Village
I'm venturing to the Town,Town
I'm venturing to the Island,Island
I'm venturing to the Skyscraper,Skyscraper
I'm venturing to the Cinema,Cinema
I'm venturing to the Bookstore,Bookstore
I'm venturing to the Factory,Factory
I'm venturing to the Workshop,Workshop
I'm venturing to the Studio,Studio
I'm venturing to the Garden,Garden
I'm venturing to the Orchard,Orchard
I'm venturing to the Vineyard,Vineyard
I'm venturing to the Cemetery,Cemetery
I'm venturing to the Castle,Castle
I'm venturing to the Historical site,Historical site
I'm venturing to the Cave,Cave
I'm venturing to the Lighthouse,Lighthouse
I'm venturing to the Waterfall,Waterfall
I'm venturing to the Cruise ship,Cruise ship
I'm venturing to the Train station,Train station
I'm venturing to the Airport,Airport
I'm venturing to the Space station,Space station
I'm venturing to the Underground,Underground
I'm venturing to the Planetarium,Planetarium
I'm venturing to the Carnival,Carnival
I'm venturing to the Circus,Circus
I'm venturing to the Wildlife sanctuary,Wildlife sanctuary
I'm venturing to the Aquarium,Aquarium
I'm venturing to the Botanical garden,Botanical garden
I'm venturing to the Coffee shop,Coffee shop
I'm venturing to the Tea house,Tea house
I'm venturing to the Ice cream parlor,Ice cream parlor
I'm venturing to the Bakery,Bakery
I'm venturing to the Farmers' market,Farmers' market
I'm venturing to the Campground,Campground
I'm venturing to the Campsite,Campsite
I'm venturing to the Ski resort,Ski resort
I'm venturing to the Beach resort,Beach resort
I'm venturing to the Safari park,Safari park
I'm venturing to the Sculpture park,Sculpture park
I'm venturing to the University,University
I'm venturing to the College,College
I'm venturing to the Kindergarten,Kindergarten
I'm venturing to the Daycare,Daycare
I'm venturing to the Factory,Factory
I'm venturing to the Lab,Lab
I'm venturing to the Radio station,Radio station
I'm venturing to the Television studio,Television studio
I'm venturing to the Office building,Office building
I'm venturing to the Observatory,Observatory
I'm venturing to the Underwater cave,Underwater cave
I'm venturing to the Haunted house,Haunted house
I'm venturing to the Winery,Winery
I'm venturing to the Microbrewery,Microbrewery
I'm venturing to the Planet,Planet
I'm venturing to the Moon,Moon
I'm venturing to the Sun,Sun
I'm venturing to the Jupiter,Jupiter
I'm venturing to the Forest,Forest
I'm venturing to the Cabin,Cabin
I'm venturing to the Rainforest,Rainforest
I'm venturing to the Jungle,Jungle
I'm venturing to the Wetland,Wetland
I'm venturing to the Volcano,Volcano
I'm strolling towards the Park,Park
I'm strolling towards the Beach,Beach
I'm strolling towards the Library,Library
I'm strolling towards the Museum,Museum
I'm strolling towards the Restaurant,Restaurant
I'm strolling towards the Cafe,Cafe
I'm strolling towards the Movie theater,Movie theater
I'm strolling towards the Shopping mall,Shopping mall
I'm strolling towards the Gym,Gym
I'm strolling towards the School,School
I'm strolling towards the Office,Office
I'm strolling towards the Zoo,Zoo
I'm strolling towards the Concert hall,Concert hall
I'm strolling towards the Art gallery,Art gallery
I'm strolling towards the Stadium,Stadium
I'm strolling towards the Hospital,Hospital
I'm strolling towards the Farm,Farm
I'm strolling towards the Farm market,Farm market
I'm strolling towards the Amusement park,Amusement park
I'm strolling towards the Spa,Spa
I'm strolling towards the Mountain,Mountain
I'm strolling towards the Lake,Lake
I'm strolling towards the River,River
I'm strolling towards the Forest,Forest
I'm strolling towards the Jungle,Jungle
I'm strolling towards the Desert,Desert
I'm strolling towards the Countryside,Countryside
I'm strolling towards the City,City
I'm strolling towards the Suburb,Suburb
I'm strolling towards the Village,Village
I'm strolling towards the Town,Town
I'm strolling towards the Island,Island
I'm strolling towards the Skyscraper,Skyscraper
I'm strolling towards the Cinema,Cinema
I'm strolling towards the Bookstore,Bookstore
I'm strolling towards the Factory,Factory
I'm strolling towards the Workshop,Workshop
I'm strolling towards the Studio,Studio
I'm strolling towards the Garden,Garden
I'm strolling towards the Orchard,Orchard
I'm strolling towards the Vineyard,Vineyard
I'm strolling towards the Cemetery,Cemetery
I'm strolling towards the Castle,Castle
I'm strolling towards the Historical site,Historical site
I'm strolling towards the Cave,Cave
I'm strolling towards the Lighthouse,Lighthouse
I'm strolling towards the Waterfall,Waterfall
I'm strolling towards the Cruise ship,Cruise ship
I'm strolling towards the Train station,Train station
I'm strolling towards the Airport,Airport
I'm strolling towards the Space station,Space station
I'm strolling towards the Underground,Underground
I'm strolling towards the Planetarium,Planetarium
I'm strolling towards the Carnival,Carnival
I'm strolling towards the Circus,Circus
I'm strolling towards the Wildlife sanctuary,Wildlife sanctuary
I'm strolling towards the Aquarium,Aquarium
I'm strolling towards the Botanical garden,Botanical garden
I'm strolling towards the Coffee shop,Coffee shop
I'm strolling towards the Tea house,Tea house
I'm strolling towards the Ice cream parlor,Ice cream parlor
I'm strolling towards the Bakery,Bakery
I'm strolling towards the Farmers' market,Farmers' market
I'm strolling towards the Campground,Campground
I'm strolling towards the Campsite,Campsite
I'm strolling towards the Ski resort,Ski resort
I'm strolling towards the Beach resort,Beach resort
I'm strolling towards the Safari park,Safari park
I'm strolling towards the Sculpture park,Sculpture park
I'm strolling towards the University,University
I'm strolling towards the College,College
I'm strolling towards the Kindergarten,Kindergarten
I'm strolling towards the Daycare,Daycare
I'm strolling towards the Factory,Factory
I'm strolling towards the Lab,Lab
I'm strolling towards the Radio station,Radio station
I'm strolling towards the Television studio,Television studio
I'm strolling towards the Office building,Office building
I'm strolling towards the Observatory,Observatory
I'm strolling towards the Underwater cave,Underwater cave
I'm strolling towards the Haunted house,Haunted house
I'm strolling towards the Winery,Winery
I'm strolling towards the Microbrewery,Microbrewery
I'm strolling towards the Planet,Planet
I'm strolling towards the Moon,Moon
I'm strolling towards the Sun,Sun
I'm strolling towards the Jupiter,Jupiter
I'm strolling towards the Forest,Forest
I'm strolling towards the Cabin,Cabin
I'm strolling towards the Rainforest,Rainforest
I'm strolling towards the Jungle,Jungle
I'm strolling towards the Wetland,Wetland
I'm strolling towards the Volcano,Volcano
I'm proceeding to the Park,Park
I'm proceeding to the Beach,Beach
I'm proceeding to the Library,Library
I'm proceeding to the Museum,Museum
I'm proceeding to the Restaurant,Restaurant
I'm proceeding to the Cafe,Cafe
I'm proceeding to the Movie theater,Movie theater
I'm proceeding to the Shopping mall,Shopping mall
I'm proceeding to the Gym,Gym
I'm proceeding to the School,School
I'm proceeding to the Office,Office
I'm proceeding to the Zoo,Zoo
I'm proceeding to the Concert hall,Concert hall
I'm proceeding to the Art gallery,Art gallery
I'm proceeding to the Stadium,Stadium
I'm proceeding to the Hospital,Hospital
I'm proceeding to the Farm,Farm
I'm proceeding to the Farm market,Farm market
I'm proceeding to the Amusement park,Amusement park
I'm proceeding to the Spa,Spa
I'm proceeding to the Mountain,Mountain
I'm proceeding to the Lake,Lake
I'm proceeding to the River,River
I'm proceeding to the Forest,Forest
I'm proceeding to the Jungle,Jungle
I'm proceeding to the Desert,Desert
I'm proceeding to the Countryside,Countryside
I'm proceeding to the City,City
I'm proceeding to the Suburb,Suburb
I'm proceeding to the Village,Village
I'm proceeding to the Town,Town
I'm proceeding to the Island,Island
I'm proceeding to the Skyscraper,Skyscraper
I'm proceeding to the Cinema,Cinema
I'm proceeding to the Bookstore,Bookstore
I'm proceeding to the Factory,Factory
I'm proceeding to the Workshop,Workshop
I'm proceeding to the Studio,Studio
I'm proceeding to the Garden,Garden
I'm proceeding to the Orchard,Orchard
I'm proceeding to the Vineyard,Vineyard
I'm proceeding to the Cemetery,Cemetery
I'm proceeding to the Castle,Castle
I'm proceeding to the Historical site,Historical site
I'm proceeding to the Cave,Cave
I'm proceeding to the Lighthouse,Lighthouse
I'm proceeding to the Waterfall,Waterfall
I'm proceeding to the Cruise ship,Cruise ship
I'm proceeding to the Train station,Train station
I'm proceeding to the Airport,Airport
I'm proceeding to the Space station,Space station
I'm proceeding to the Underground,Underground
I'm proceeding to the Planetarium,Planetarium
I'm proceeding to the Carnival,Carnival
I'm proceeding to the Circus,Circus
I'm proceeding to the Wildlife sanctuary,Wildlife sanctuary
I'm proceeding to the Aquarium,Aquarium
I'm proceeding to the Botanical garden,Botanical garden
I'm proceeding to the Coffee shop,Coffee shop
I'm proceeding to the Tea house,Tea house
I'm proceeding to the Ice cream parlor,Ice cream parlor
I'm proceeding to the Bakery,Bakery
I'm proceeding to the Farmers' market,Farmers' market
I'm proceeding to the Campground,Campground
I'm proceeding to the Campsite,Campsite
I'm proceeding to the Ski resort,Ski resort
I'm proceeding to the Beach resort,Beach resort
I'm proceeding to the Safari park,Safari park
I'm proceeding to the Sculpture park,Sculpture park
I'm proceeding to the University,University
I'm proceeding to the College,College
I'm proceeding to the Kindergarten,Kindergarten
I'm proceeding to the Daycare,Daycare
